Sample_ID,Alloy_Type,Powder_Size_um,Powder_Morphology,Oxygen_Content_percent,Laser_Power_W,Scan_Speed_mm_s,Hatch_Spacing_mm,Layer_Thickness_um,Scan_Strategy,Preheat_Temp_C,Shielding_Gas_Flow_L_min,Melt_Pool_Width_um,Melt_Pool_Depth_um,Melt_Pool_Temp_C,Cooling_Rate_K_s,Energy_Density_J_mm3,Thermal_Gradient,Relative_Density_percent,Porosity_percent,Microhardness_HV,Surface_Roughness_Ra,Tensile_Strength_MPa,Yield_Strength_MPa,Elongation_percent,Defect_Count,Quality_Class
1736,Ti-5553,29.74,Irregular,0.182,172.53,1424.16,0.098,56.78,Stripe,193.21,16.29,238.12,84.82,2056.35,8218.29,73.87,51.23,95.75,4.72,399.39,6.74,1235.1,961.01,15.23,9,Excellent
1737,Near-Beta Ti,57.27,Spherical,0.171,201.61,1728.83,0.15,59.6,Chessboard,196.71,27.24,91.41,134.1,2066.89,4693.85,63.23,64.54,97.79,3.17,372.89,4.98,1037.14,1046.13,9.55,0,Good
1738,Ti-6Al-4V,24.19,Irregular,0.133,342.76,1286.94,0.134,54.83,Chessboard,202.28,14.27,87.85,109.41,1674.92,7219.61,100.36,14.99,97.41,0.18,435.37,3.48,824.65,1030.9,16.87,1,Good
1739,Near-Beta Ti,30.72,Spherical,0.125,391.19,718.44,0.138,33.55,Chessboard,201.58,25.75,214.63,114.71,1668.74,8357.17,111.62,95.1,96.23,0.27,309.51,12.55,1148.34,920.32,14.87,2,Good
1740,Near-Beta Ti,40.81,Irregular,0.163,214.75,665.7,0.082,31.12,Chessboard,125.39,19.4,150.38,110.01,2050.76,9520.02,119.19,69.7,98.14,0.23,395.86,10.64,1010.45,964.6,11.19,5,Excellent
1741,Ti-6Al-4V,42.63,Spherical,0.063,354.56,1555.05,0.084,37.25,Stripe,134.07,15.98,235.76,75.57,1526.13,4006.59,64.71,22.72,98.41,1.34,427.01,5.52,1202.6,750.55,17.64,14,Good
1742,Ti-6Al-4V,20.61,Spherical,0.225,206.98,1351.3,0.13,49.9,Island,162.29,17.59,131.12,131.21,2057.64,2865.78,50.18,57.37,97.77,0.38,334.79,2.86,1258.42,837.21,10.99,9,Poor
1743,Near-Beta Ti,51.22,Irregular,0.215,319.9,1707.19,0.093,20.37,Island,268.2,21.77,128.83,43.71,1477.36,7809.61,97.89,85.06,98.33,0.43,423.39,11.24,1255.64,751.97,16.12,12,Excellent
1744,Ti-6Al-4V,34.46,Spherical,0.119,170.9,1256.7,0.11,59.8,Chessboard,181.73,28.6,242.73,80.42,1635.8,1876.12,106.47,77.41,96.28,2.25,385.87,4.73,1225.61,1023.58,8.68,1,Moderate
1745,Ti-6Al-4V,36.26,Spherical,0.163,296.32,674.87,0.093,55.34,Chessboard,283.79,11.95,174.14,145.0,1803.04,6064.89,109.83,92.48,99.52,0.14,438.66,10.45,854.44,982.9,15.7,5,Moderate
1746,Ti-6Al-4V,52.37,Spherical,0.236,217.3,1084.42,0.092,20.95,Stripe,254.54,28.39,184.33,81.64,1496.57,8743.92,88.34,95.38,95.26,0.18,367.79,7.59,1183.59,827.89,12.93,6,Excellent
1747,Ti-5553,35.17,Irregular,0.104,381.46,1389.59,0.088,35.28,Stripe,269.53,26.31,232.67,41.85,1459.73,3005.87,116.83,12.93,95.85,3.14,339.33,5.99,1132.98,1033.27,13.17,3,Moderate
1748,Near-Beta Ti,21.89,Irregular,0.198,222.44,1061.86,0.122,47.51,Chessboard,109.51,21.75,144.74,61.12,1616.03,4492.29,48.97,67.53,96.11,3.52,411.68,5.02,942.41,973.88,9.43,13,Good
1749,Near-Beta Ti,27.06,Spherical,0.067,249.61,1799.51,0.132,29.66,Chessboard,112.73,12.61,122.14,143.86,1868.99,8417.88,64.64,15.11,99.77,4.83,349.99,4.98,912.02,870.28,11.48,4,Good
1750,Ti-5553,58.24,Spherical,0.155,360.17,1086.45,0.084,25.71,Island,132.06,26.25,177.08,133.42,2050.65,5519.8,63.98,10.49,96.43,2.47,332.99,3.33,1254.4,960.1,9.22,4,Excellent
1751,Near-Beta Ti,22.82,Irregular,0.227,259.57,1255.48,0.099,45.17,Island,225.78,23.81,149.7,61.49,1985.93,2600.33,71.9,17.31,99.66,2.88,406.87,14.23,1295.78,963.76,11.32,9,Excellent
1752,Ti-6Al-4V,34.2,Irregular,0.16,209.6,870.47,0.126,56.14,Island,184.78,19.95,107.81,147.52,1838.02,1755.38,100.07,99.22,97.38,3.0,423.93,6.17,1192.12,719.77,10.79,10,Excellent
1753,Near-Beta Ti,40.13,Irregular,0.173,286.89,782.57,0.107,58.22,Chessboard,117.36,27.72,100.16,57.48,1928.89,6015.12,41.62,10.12,98.59,3.77,441.81,14.62,872.02,1021.53,17.6,11,Good
1754,Ti-6Al-4V,39.73,Spherical,0.232,360.0,1374.37,0.129,20.41,Stripe,244.07,23.29,203.33,149.15,1829.95,1195.71,41.39,69.37,96.39,2.13,344.98,6.55,1078.77,983.28,6.04,5,Moderate
1755,Ti-5553,20.16,Irregular,0.193,258.29,1306.34,0.133,54.98,Stripe,193.84,15.77,85.81,132.9,1832.9,4059.33,50.98,65.18,98.52,4.93,370.35,14.9,934.49,756.12,16.21,9,Moderate
1756,Ti-6Al-4V,40.05,Spherical,0.189,183.22,605.21,0.082,42.43,Stripe,240.82,10.87,169.68,140.39,1412.82,6508.52,54.86,81.05,99.35,2.54,327.59,8.41,935.35,995.03,6.23,6,Poor
1757,Near-Beta Ti,35.35,Irregular,0.167,245.77,941.74,0.107,29.51,Chessboard,280.08,25.19,136.04,55.37,1706.48,1049.17,119.13,70.42,97.89,0.73,440.89,2.66,866.15,1066.0,10.82,3,Excellent
1758,Near-Beta Ti,58.88,Spherical,0.177,388.62,1372.3,0.131,44.68,Chessboard,281.24,15.11,105.65,73.19,1847.01,8812.91,60.64,94.64,99.56,3.76,423.4,6.64,887.1,952.4,7.42,8,Good
1759,Near-Beta Ti,26.37,Irregular,0.211,168.01,1574.7,0.106,59.83,Stripe,146.25,15.61,231.41,117.22,1875.42,9612.64,76.6,86.89,96.94,2.65,384.79,12.92,1020.73,1084.79,13.91,11,Good
1760,Ti-5553,34.17,Spherical,0.246,252.11,974.84,0.08,31.05,Stripe,114.88,18.99,205.89,95.58,1806.19,4696.42,42.32,35.32,98.1,3.29,437.45,4.38,853.92,860.22,13.06,14,Poor
1761,Ti-5553,36.78,Irregular,0.209,312.01,1376.92,0.104,31.08,Stripe,175.44,25.0,211.43,72.08,1958.55,1366.09,114.44,88.92,96.39,2.62,423.01,8.59,874.54,919.1,8.14,3,Good
1762,Near-Beta Ti,35.63,Irregular,0.192,169.63,918.31,0.141,47.96,Chessboard,98.45,28.49,154.1,116.5,1694.62,3519.85,43.77,35.13,95.74,3.29,304.63,13.1,861.74,1049.24,10.82,7,Moderate
1763,Ti-6Al-4V,46.63,Spherical,0.077,236.24,1428.46,0.147,21.73,Island,89.67,14.33,190.22,125.76,1514.36,6967.33,112.19,69.33,95.81,2.32,416.82,13.45,949.01,848.6,9.95,9,Poor
1764,Ti-5553,28.62,Irregular,0.213,385.14,1437.54,0.119,52.82,Island,295.19,27.64,95.39,71.4,1425.51,1384.56,56.02,32.08,97.22,2.01,318.25,5.87,1280.38,702.35,10.08,7,Poor
1765,Near-Beta Ti,28.84,Irregular,0.197,157.66,756.27,0.101,46.1,Chessboard,293.8,22.09,103.68,49.44,1856.01,8687.45,112.71,94.44,99.69,1.03,349.7,2.05,823.0,721.82,6.05,13,Poor
1766,Near-Beta Ti,49.17,Irregular,0.204,337.94,1398.11,0.113,53.65,Island,157.39,27.11,134.84,103.18,1797.79,8229.82,66.45,73.49,96.49,1.73,317.79,8.35,923.98,978.1,7.89,13,Good
1767,Ti-5553,40.01,Irregular,0.096,360.34,1000.28,0.097,29.23,Stripe,260.52,26.96,157.82,83.62,1588.72,5164.4,78.14,53.16,95.47,0.28,309.58,12.28,1249.07,959.87,8.92,5,Good
1768,Ti-5553,36.61,Spherical,0.231,219.27,807.11,0.092,53.89,Island,129.15,17.85,95.95,136.56,1577.22,7933.93,96.88,82.24,97.23,2.53,390.89,4.87,845.21,1020.79,9.42,2,Good
1769,Ti-5553,26.77,Spherical,0.069,203.68,1200.43,0.115,37.94,Stripe,171.8,23.56,176.05,44.95,1865.09,2530.52,99.45,12.44,95.71,2.21,442.88,4.03,1201.36,738.06,9.2,6,Excellent
1770,Ti-6Al-4V,27.5,Irregular,0.101,378.71,1142.76,0.132,25.31,Chessboard,239.82,28.93,120.77,110.17,1485.51,9609.64,42.72,67.23,96.05,0.67,310.79,7.18,830.04,1006.04,16.92,14,Excellent
1771,Ti-6Al-4V,20.42,Spherical,0.183,341.0,1528.65,0.096,56.06,Chessboard,201.12,23.45,211.67,45.22,1508.72,5480.39,41.56,12.81,99.56,2.85,412.37,5.81,917.27,1009.68,5.05,9,Excellent
1772,Near-Beta Ti,23.66,Spherical,0.185,178.35,701.42,0.144,48.2,Stripe,260.65,19.16,80.08,52.46,1599.03,9866.25,65.73,30.52,98.21,4.47,341.89,5.21,1237.15,1023.01,8.53,7,Good
1773,Ti-5553,42.27,Spherical,0.113,203.05,1547.7,0.092,26.73,Stripe,295.61,17.44,227.23,80.56,2107.72,5738.1,80.93,38.13,97.6,2.6,313.54,13.02,803.01,718.84,10.55,5,Good
1774,Ti-6Al-4V,55.67,Spherical,0.19,305.34,727.3,0.119,29.86,Island,81.98,12.87,204.54,65.15,1964.12,7386.05,109.87,77.56,96.12,0.34,438.34,3.84,1034.1,1034.55,12.63,3,Moderate
1775,Ti-5553,31.49,Spherical,0.128,254.85,848.95,0.134,30.75,Stripe,283.39,29.98,172.85,57.8,1846.03,8197.34,54.48,92.67,95.47,2.14,308.12,2.94,1166.08,1050.57,17.95,4,Excellent
1776,Near-Beta Ti,33.11,Irregular,0.05,276.04,1219.06,0.095,58.53,Chessboard,170.96,23.16,205.38,127.24,1695.33,8120.07,69.81,43.19,99.71,4.57,315.86,3.81,971.1,932.15,10.38,14,Excellent
1777,Ti-6Al-4V,24.62,Spherical,0.083,387.89,1155.81,0.101,55.45,Chessboard,169.75,15.53,141.98,65.55,1734.08,7630.58,74.83,65.62,97.68,4.77,334.0,8.43,891.07,1084.77,5.98,14,Good
1778,Ti-6Al-4V,35.55,Irregular,0.227,255.06,1786.63,0.084,33.85,Island,80.15,11.49,107.64,80.11,1537.52,2230.32,79.02,79.96,95.65,4.25,439.6,14.14,831.33,905.98,9.86,1,Excellent
1779,Ti-6Al-4V,21.49,Spherical,0.095,370.42,1307.37,0.146,38.67,Stripe,263.56,25.08,81.55,139.87,2072.48,4679.4,96.39,86.13,97.31,2.21,345.53,3.9,1238.99,1025.62,15.04,7,Excellent
1780,Near-Beta Ti,56.7,Irregular,0.073,315.19,992.92,0.114,31.41,Stripe,246.98,27.1,173.25,126.41,1545.54,5875.97,112.79,96.65,98.07,1.96,304.4,13.81,1182.97,771.07,15.28,14,Moderate
1781,Ti-5553,46.92,Irregular,0.186,180.4,1680.18,0.085,49.71,Island,276.68,18.56,129.63,97.64,2008.5,7374.9,50.33,80.41,98.44,1.51,328.15,13.52,1138.53,855.76,15.83,3,Good
1782,Ti-6Al-4V,59.63,Irregular,0.138,336.13,974.66,0.138,26.45,Chessboard,116.82,29.12,116.16,50.33,1591.58,4563.12,77.62,12.93,95.46,0.8,366.75,7.65,1200.56,865.71,11.76,3,Excellent
1783,Near-Beta Ti,55.31,Spherical,0.209,280.05,928.53,0.12,33.54,Stripe,127.32,16.57,227.39,144.0,2005.3,6014.14,118.79,19.18,98.53,4.51,432.39,14.25,1071.88,842.29,12.36,10,Poor
1784,Ti-5553,38.92,Spherical,0.222,206.27,1193.25,0.084,44.24,Island,146.78,25.12,203.28,118.0,1643.18,4814.36,87.93,85.04,98.88,3.43,339.05,7.44,1231.9,744.53,8.6,12,Moderate
1785,Near-Beta Ti,40.79,Irregular,0.219,222.39,1695.81,0.112,55.09,Island,196.65,15.26,248.33,43.86,2185.01,7421.71,107.89,35.17,96.84,4.13,376.59,4.83,1052.25,860.87,9.77,11,Excellent
1786,Ti-5553,27.62,Irregular,0.113,289.33,1450.22,0.11,45.42,Island,155.93,16.72,192.47,144.37,2135.93,1713.13,111.18,17.42,98.35,0.59,345.3,12.59,996.25,1080.34,9.97,11,Poor
1787,Near-Beta Ti,38.48,Spherical,0.151,300.43,1412.98,0.09,57.59,Island,145.94,22.11,232.21,47.89,2101.03,7427.81,45.68,96.19,95.49,0.94,386.16,8.92,1062.64,928.87,12.02,1,Poor
1788,Ti-5553,56.12,Spherical,0.18,392.04,1471.29,0.109,57.23,Stripe,120.19,10.73,100.12,106.33,1544.93,8548.23,78.47,44.21,99.97,0.27,313.28,8.95,1285.51,1085.08,16.02,7,Excellent
1789,Ti-6Al-4V,22.03,Irregular,0.114,363.68,1391.57,0.1,48.73,Island,115.02,14.22,202.87,83.33,1467.09,1114.04,116.95,42.97,95.36,2.29,375.01,9.71,1136.36,978.92,5.71,2,Poor
1790,Ti-5553,54.54,Spherical,0.058,201.46,1511.76,0.129,31.15,Stripe,184.05,13.53,94.66,147.9,2171.33,5810.98,51.94,20.38,96.01,2.23,310.67,2.26,885.91,864.08,17.02,3,Excellent
1791,Near-Beta Ti,33.64,Spherical,0.149,343.5,831.31,0.08,47.32,Chessboard,178.1,16.56,96.08,141.54,1748.58,3255.25,55.07,84.3,98.79,4.18,446.96,3.19,1017.23,827.28,16.38,12,Moderate
1792,Near-Beta Ti,55.98,Spherical,0.053,152.07,812.71,0.087,27.71,Island,252.73,25.55,225.83,105.87,2100.6,4892.2,80.48,50.66,99.8,0.24,437.67,2.26,1159.0,739.53,11.9,0,Excellent
1793,Ti-5553,57.64,Spherical,0.24,182.45,1034.6,0.144,33.33,Island,261.24,28.15,141.21,117.13,1789.55,7710.33,50.65,37.22,96.27,2.63,396.99,8.33,1009.61,884.75,13.75,11,Moderate
1794,Ti-6Al-4V,46.83,Spherical,0.209,199.93,1621.15,0.11,50.32,Chessboard,234.14,10.25,133.79,130.38,1919.33,7978.46,108.79,84.46,95.49,3.73,437.91,7.23,1136.32,1032.36,15.57,3,Excellent
1795,Ti-6Al-4V,46.58,Spherical,0.088,299.3,1457.35,0.092,54.03,Island,262.86,15.14,111.24,130.23,2004.34,4614.56,101.02,86.84,95.71,3.23,388.21,14.54,819.55,754.55,15.35,3,Excellent
1796,Ti-5553,38.11,Irregular,0.108,198.67,1279.77,0.136,36.67,Stripe,103.95,10.51,162.44,105.9,1827.75,1823.89,107.97,74.25,98.42,4.83,345.96,11.31,1000.27,1070.78,12.95,6,Excellent
1797,Ti-5553,53.42,Irregular,0.247,241.32,623.34,0.14,40.94,Chessboard,180.71,27.22,114.61,67.68,2149.65,6485.39,72.42,48.27,97.55,4.41,321.87,11.63,953.03,976.55,17.46,7,Good
1798,Near-Beta Ti,58.46,Irregular,0.125,210.69,882.96,0.095,35.45,Chessboard,143.02,13.97,171.43,74.4,1438.4,3511.97,91.75,36.96,99.42,0.95,449.03,5.68,1103.23,986.31,16.07,0,Excellent
1799,Ti-6Al-4V,51.0,Irregular,0.207,234.35,1564.22,0.13,39.17,Stripe,135.4,25.41,192.27,113.22,2067.95,2045.88,66.17,56.34,95.5,2.02,336.74,10.35,853.9,945.48,5.36,9,Good
1800,Ti-5553,44.88,Irregular,0.139,385.61,890.98,0.123,40.5,Stripe,236.79,10.67,191.33,115.66,1950.24,3833.56,45.05,60.23,97.51,3.76,430.01,3.69,1026.43,792.0,12.3,2,Excellent
1801,Ti-6Al-4V,44.27,Irregular,0.223,399.34,1476.35,0.132,47.67,Chessboard,262.87,17.97,141.99,80.86,1664.53,6223.18,101.99,61.02,98.06,2.16,364.8,8.22,1100.23,813.41,5.46,0,Good
1802,Ti-5553,53.98,Spherical,0.191,321.43,821.56,0.135,50.02,Island,105.24,17.17,199.69,137.65,1776.16,9176.26,117.73,77.27,99.31,2.17,348.69,11.35,845.27,1076.03,10.24,0,Poor
1803,Ti-5553,41.65,Spherical,0.055,293.08,1327.64,0.126,59.0,Stripe,107.3,16.59,125.23,84.01,1777.51,2939.58,62.88,15.39,97.77,1.14,337.25,12.71,1061.12,916.35,5.86,2,Excellent
1804,Ti-6Al-4V,52.15,Irregular,0.109,327.11,1353.85,0.147,37.51,Stripe,220.67,21.4,217.31,116.83,1434.44,7875.44,63.01,68.36,95.91,0.91,429.38,12.35,1172.5,831.0,10.63,1,Good
1805,Ti-5553,40.36,Irregular,0.162,342.91,1502.36,0.14,23.33,Stripe,111.75,17.83,80.02,63.03,1828.19,8760.51,56.52,88.18,99.44,3.32,426.16,3.72,1085.93,708.77,9.01,12,Poor
1806,Ti-5553,22.5,Irregular,0.235,334.75,1126.01,0.096,47.53,Chessboard,249.04,18.06,244.32,78.84,1452.85,2331.71,74.13,21.82,99.33,4.94,430.87,6.89,821.36,861.53,16.69,7,Good
1807,Near-Beta Ti,35.36,Spherical,0.07,170.47,1359.21,0.144,39.93,Island,262.31,13.78,153.71,100.07,1812.87,1050.03,70.06,59.84,99.37,4.65,410.19,6.39,1059.83,739.5,16.34,14,Poor
1808,Ti-5553,37.78,Spherical,0.17,227.57,1184.36,0.105,53.64,Stripe,195.03,18.29,136.78,44.14,1572.1,9508.16,110.79,71.93,97.93,4.35,309.46,8.99,928.26,781.89,8.88,13,Excellent
1809,Ti-5553,25.66,Spherical,0.11,235.86,1736.81,0.131,25.86,Chessboard,279.85,24.82,186.16,44.61,2066.89,1884.54,103.22,96.48,99.82,4.91,353.04,6.34,1235.89,985.31,12.88,0,Excellent
1810,Ti-5553,24.1,Spherical,0.228,242.31,1226.26,0.139,45.8,Chessboard,84.48,16.46,229.45,69.68,1455.55,2452.19,110.44,18.66,97.78,0.99,422.21,8.1,1098.45,725.33,8.48,7,Excellent
1811,Near-Beta Ti,41.42,Irregular,0.203,236.08,851.52,0.111,38.37,Island,129.81,27.14,139.94,131.05,1636.02,4670.26,113.56,75.42,95.74,2.22,445.96,6.02,873.76,703.25,9.1,13,Good
1812,Ti-6Al-4V,23.41,Irregular,0.124,346.77,1401.47,0.084,36.77,Chessboard,250.05,13.32,91.91,63.82,1726.85,3655.32,94.34,62.46,97.0,0.79,429.12,5.45,1116.33,926.67,6.01,8,Good
1813,Near-Beta Ti,32.12,Irregular,0.083,336.9,1258.16,0.146,42.59,Chessboard,290.61,26.93,140.15,137.45,1881.72,9832.52,91.47,40.73,99.12,2.43,400.3,4.14,1094.09,944.22,15.62,12,Good
1814,Near-Beta Ti,49.78,Irregular,0.052,151.15,1564.6,0.085,47.37,Stripe,291.33,22.32,80.86,118.77,2190.02,8430.88,77.29,14.56,99.89,0.52,423.53,6.7,823.8,781.95,5.45,7,Poor
1815,Ti-6Al-4V,58.58,Spherical,0.174,224.1,812.29,0.104,54.04,Stripe,80.09,18.48,111.46,115.78,1503.5,6840.91,46.63,39.64,99.15,3.42,355.1,5.27,1023.33,1083.47,8.86,9,Moderate
1816,Near-Beta Ti,48.71,Spherical,0.131,305.92,913.13,0.122,29.4,Stripe,219.01,10.7,88.84,114.15,1698.22,1237.99,75.7,84.36,96.82,2.28,400.49,5.93,1162.29,1023.81,8.54,9,Moderate
1817,Ti-6Al-4V,59.71,Irregular,0.113,180.07,1705.95,0.088,31.72,Chessboard,86.01,12.53,145.89,147.39,1944.87,3178.83,69.01,67.13,95.05,4.38,413.77,6.41,994.38,805.3,11.88,9,Excellent
1818,Near-Beta Ti,47.93,Spherical,0.247,167.8,1716.03,0.139,41.94,Island,234.07,18.29,90.16,109.71,1699.04,2738.78,70.27,30.54,95.89,1.23,375.39,3.25,1011.21,1088.18,8.21,13,Excellent
1819,Ti-6Al-4V,31.75,Spherical,0.143,357.1,1130.71,0.094,33.86,Island,248.97,27.56,247.27,111.42,1592.64,3347.62,80.11,99.37,95.18,2.03,339.11,3.88,824.62,852.56,9.74,2,Good
1820,Ti-5553,46.88,Spherical,0.2,263.17,657.3,0.149,42.73,Island,268.69,29.14,212.93,89.87,2051.93,9544.03,82.18,77.14,99.11,0.11,439.19,4.64,947.65,738.54,8.78,10,Excellent
1821,Near-Beta Ti,48.09,Spherical,0.085,363.92,967.87,0.144,28.01,Chessboard,196.48,28.59,151.32,135.95,1549.89,4659.81,57.28,27.0,96.53,2.38,419.95,9.39,1279.85,905.91,6.77,13,Good
1822,Near-Beta Ti,34.87,Irregular,0.053,355.89,896.55,0.122,32.31,Stripe,267.02,15.48,214.37,46.31,1669.21,8865.87,61.99,80.31,98.48,0.51,337.05,7.52,1212.94,1043.18,9.09,3,Moderate
1823,Near-Beta Ti,20.71,Spherical,0.134,373.34,1097.61,0.126,32.99,Chessboard,283.25,15.13,150.95,77.87,1592.39,5257.48,56.26,84.81,97.04,4.67,318.01,2.23,838.75,795.34,14.78,13,Good
1824,Near-Beta Ti,48.13,Irregular,0.183,162.07,981.36,0.117,59.69,Stripe,197.31,24.79,190.0,71.53,2168.49,6972.85,98.91,88.36,96.36,4.76,410.78,14.59,951.19,971.03,16.48,7,Good
1825,Ti-5553,20.87,Spherical,0.151,196.53,1594.79,0.107,54.17,Chessboard,195.31,28.81,219.66,83.78,2069.01,9472.91,117.15,76.56,97.62,2.82,398.99,6.83,1083.98,959.02,9.06,1,Excellent
1826,Near-Beta Ti,45.25,Spherical,0.228,224.04,603.64,0.105,53.51,Chessboard,191.29,12.67,196.35,92.79,1768.78,6240.47,59.58,17.23,97.45,2.24,388.75,7.92,841.23,877.51,7.28,11,Good
1827,Ti-5553,26.54,Irregular,0.137,184.06,1373.56,0.142,40.54,Island,191.02,17.55,94.37,145.17,2072.1,4209.77,109.09,83.23,99.12,2.43,443.73,4.93,1147.97,888.02,17.89,1,Good
1828,Ti-5553,42.62,Irregular,0.112,271.37,1397.12,0.12,38.67,Chessboard,250.4,26.73,87.39,141.69,1946.1,5255.05,98.42,93.49,98.48,1.8,351.1,7.04,1151.79,908.64,13.96,11,Good
1829,Ti-5553,40.16,Spherical,0.233,349.74,1392.75,0.138,22.81,Island,94.81,19.84,176.88,107.24,1685.52,5218.63,64.5,54.97,96.55,2.24,318.38,7.3,1082.84,735.19,14.98,6,Moderate
1830,Ti-5553,20.54,Spherical,0.131,387.8,1224.71,0.116,27.89,Chessboard,179.55,26.85,113.39,42.19,1567.47,8200.2,81.99,78.5,99.03,2.56,330.91,7.16,1151.18,810.33,8.17,13,Poor
1831,Ti-6Al-4V,34.51,Irregular,0.104,372.39,1333.32,0.101,55.81,Island,195.28,12.34,247.3,101.12,1688.47,4021.57,88.8,55.38,97.99,4.82,408.29,2.91,826.39,767.2,10.61,9,Poor
1832,Ti-6Al-4V,44.04,Spherical,0.07,264.33,1572.59,0.086,41.03,Chessboard,127.18,25.54,82.77,47.53,1814.54,1386.55,101.71,67.67,96.7,2.06,436.68,13.3,926.5,842.2,13.55,3,Excellent
1833,Near-Beta Ti,53.94,Spherical,0.209,309.12,1541.04,0.103,59.5,Chessboard,199.08,17.79,207.25,79.57,1559.99,7058.1,83.55,68.23,99.05,3.79,403.05,2.33,970.72,1035.48,7.99,7,Excellent
1834,Ti-6Al-4V,55.55,Irregular,0.215,207.67,641.55,0.142,43.67,Stripe,180.25,23.86,87.22,73.49,1618.78,8695.78,92.46,50.75,96.85,3.69,321.88,10.62,1259.12,913.82,8.27,14,Excellent
1835,Ti-6Al-4V,39.35,Spherical,0.057,250.75,636.52,0.13,35.1,Stripe,242.27,15.86,183.85,111.29,1917.43,5511.55,65.64,41.92,95.26,4.8,405.98,4.42,1263.41,852.69,17.17,0,Poor
1836,Near-Beta Ti,49.14,Spherical,0.122,367.8,1606.73,0.135,30.96,Stripe,157.72,23.84,151.41,41.97,1979.45,2259.71,49.86,49.23,99.39,0.35,347.49,14.49,1247.46,1020.31,6.17,10,Excellent
1837,Near-Beta Ti,32.66,Spherical,0.2,157.3,1289.68,0.134,56.73,Chessboard,288.95,24.04,187.58,126.76,1764.86,2304.75,44.81,62.3,97.22,0.53,359.82,5.61,971.75,919.62,13.43,4,Good
1838,Near-Beta Ti,33.69,Spherical,0.239,283.19,1748.91,0.088,34.83,Stripe,171.02,18.39,209.53,130.91,2175.67,9028.9,63.35,57.44,96.61,2.92,396.46,6.2,1290.87,798.75,11.54,8,Good
1839,Ti-6Al-4V,27.78,Spherical,0.126,368.2,1117.91,0.091,25.85,Stripe,218.8,29.38,85.64,43.56,1644.04,1658.5,93.42,67.77,99.57,2.44,364.06,9.05,850.97,777.1,14.21,12,Good
1840,Ti-6Al-4V,42.48,Irregular,0.224,180.5,812.09,0.102,31.13,Chessboard,128.77,10.01,168.61,49.0,2129.34,5526.09,47.13,14.16,96.26,3.13,444.2,9.51,1042.78,1094.27,8.4,5,Moderate
1841,Near-Beta Ti,32.58,Spherical,0.129,395.64,1167.88,0.101,45.82,Chessboard,231.5,23.48,240.2,141.27,1619.4,3976.1,99.11,51.4,99.85,2.71,419.15,9.1,983.95,738.7,5.08,8,Good
1842,Ti-5553,23.37,Irregular,0.086,153.1,1123.85,0.085,25.32,Stripe,193.05,28.17,117.02,107.76,1988.5,3476.82,72.58,16.35,95.14,3.85,381.61,4.14,1144.91,1069.48,5.12,0,Moderate
1843,Near-Beta Ti,47.4,Irregular,0.051,371.53,1220.61,0.091,23.66,Stripe,155.29,27.15,93.17,145.64,2198.71,2549.81,77.45,77.97,98.35,4.46,364.95,7.22,1098.66,975.49,16.7,1,Moderate
1844,Ti-5553,48.31,Spherical,0.116,238.42,1569.54,0.14,38.31,Chessboard,156.54,21.29,211.06,90.34,2066.87,3697.59,57.04,34.11,95.3,2.71,349.54,5.02,1170.67,794.04,15.48,5,Excellent
1845,Ti-5553,34.4,Irregular,0.126,183.17,1386.7,0.121,23.35,Chessboard,162.6,27.92,206.05,60.97,1780.22,7441.7,95.78,41.12,95.45,0.54,349.75,3.02,1249.2,867.15,13.77,10,Good
1846,Near-Beta Ti,23.07,Spherical,0.239,189.34,822.33,0.104,35.72,Island,176.24,12.16,146.33,80.72,1499.67,6378.51,117.64,68.88,99.8,0.64,396.73,5.2,1146.7,1034.5,6.77,4,Moderate
1847,Near-Beta Ti,37.05,Irregular,0.091,325.29,1481.37,0.117,32.91,Island,134.48,20.87,221.14,142.19,2173.0,1743.8,72.09,41.2,99.6,1.2,424.92,10.06,1154.23,860.89,12.35,7,Good
1848,Near-Beta Ti,37.69,Irregular,0.126,367.68,1310.28,0.098,35.66,Chessboard,141.03,29.63,172.46,52.68,1976.55,7784.64,49.24,75.67,99.22,4.32,328.75,7.01,838.9,819.41,8.91,5,Good
1849,Ti-6Al-4V,46.75,Irregular,0.055,310.27,1293.97,0.121,39.51,Chessboard,290.84,29.83,160.81,138.14,2070.38,4190.52,41.37,87.57,98.39,2.94,438.9,13.75,856.6,770.63,7.48,2,Poor
1850,Ti-5553,32.62,Spherical,0.203,382.18,1413.91,0.085,27.41,Stripe,146.28,23.58,219.72,98.27,1858.25,2955.04,109.29,67.32,97.33,1.94,345.11,10.08,985.3,730.11,8.15,2,Excellent
1851,Ti-6Al-4V,47.3,Irregular,0.233,360.62,1276.76,0.143,37.7,Island,217.92,13.35,96.68,47.71,1782.66,8357.05,96.43,24.07,98.39,1.88,406.04,6.79,1011.32,1076.41,7.9,11,Moderate
1852,Ti-6Al-4V,54.86,Irregular,0.098,152.26,1149.02,0.097,34.46,Stripe,155.97,12.26,118.06,83.97,1462.74,6723.25,107.71,50.46,97.79,0.4,414.38,14.45,878.67,966.34,13.39,5,Good
1853,Near-Beta Ti,29.5,Irregular,0.136,317.36,1368.46,0.137,51.82,Island,258.38,28.45,155.5,66.76,1449.57,7501.53,71.41,75.93,99.26,1.46,423.23,13.35,867.68,789.56,12.39,7,Poor
